#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -357.8960  0.2833 
   00001    0.7175    -601.0104  0.2860 
   00002    0.6300    -729.6971  0.2901 
   00003    0.5450    -780.7906  0.2862 
   00004    0.6025    -891.8163  0.3244 
   00005    0.5050    -932.7149  0.3396 
   00006    0.5125    -953.1839  0.3863 
   00007    0.5125    -990.5924  0.3942 
   00008    0.4650   -1041.6401  0.4233 
   00009    0.5275   -1059.2167  0.4363 
   00010    0.4825   -1070.6376  0.4272 
   00011    0.4775   -1105.7210  0.4465 
   00012    0.4900   -1124.7661  0.4174 
   00013    0.3975   -1126.1130  0.4186 
   00014    0.4475   -1130.6821  0.4131 
   00015    0.4325   -1117.1998  0.4202 
   00016    0.4450   -1119.6128  0.4177 
   00017    0.4250   -1123.5479  0.4120 
   00018    0.3975   -1110.4681  0.4045 
   00019    0.4425   -1112.1973  0.4116 
   00020    0.4450   -1130.3244  0.4262 
   00021    0.4550   -1152.5890  0.4304 
   00022    0.4650   -1161.3330  0.3988 
   00023    0.4350   -1160.1581  0.4198 
   00024    0.4050   -1172.4302  0.4251 
   00025    0.4325   -1172.7593  0.4148 
   00026    0.4400   -1179.7606  0.4261 
   00027    0.4300   -1154.4126  0.4332 
   00028    0.4625   -1149.9263  0.4406 
   00029    0.4575   -1150.6873  0.4571 
   00030    0.4425   -1152.5418  0.4841 
   00031    0.4325   -1170.5202  0.4903 
   00032    0.4050   -1179.5629  0.4890 
   00033    0.4175   -1181.6531  0.4846 
   00034    0.4350   -1179.9952  0.4702 
   00035    0.3950   -1181.9155  0.4674 
   00036    0.4125   -1177.5897  0.4651 
   00037    0.4225   -1179.0290  0.4693 
   00038    0.4525   -1161.5902  0.4616 
   00039    0.4075   -1174.2754  0.4566 
   00040    0.4100   -1158.5828  0.4467 
   00041    0.4400   -1187.7075  0.4602 
   00042    0.4500   -1189.5623  0.4647 
   00043    0.4200   -1193.2790  0.4767 
   00044    0.4275   -1187.5547  0.4709 
   00045    0.4150   -1186.7203  0.4567 
   00046    0.4500   -1130.8258  0.4471 
   00047    0.4200   -1151.2608  0.4677 
   00048    0.4675   -1165.5932  0.4390 
   00049    0.4325   -1141.2260  0.4337 
   00050    0.4300   -1154.1121  0.4258 
   00051    0.4550   -1192.4753  0.4479 
   00052    0.4075   -1198.8646  0.4680 
   00053    0.4750   -1185.3392  0.4558 
   00054    0.4400   -1174.3557  0.4586 
   00055    0.4600   -1163.6072  0.4484 
   00056    0.4150   -1157.4775  0.4544 
   00057    0.4425   -1148.9273  0.4652 
   00058    0.4350   -1131.1780  0.4667 
   00059    0.4025   -1129.1241  0.4656 
   00060    0.4725   -1124.7127  0.4552 
   00061    0.4725   -1113.9414  0.4469 
   00062    0.4175   -1126.0129  0.4579 
   00063    0.4900   -1152.3925  0.4748 
   00064    0.4250   -1146.5737  0.4759 
   00065    0.4200   -1142.2627  0.4911 
   00066    0.4575   -1127.7065  0.5054 
   00067    0.4050   -1121.8499  0.5184 
   00068    0.4450   -1132.2308  0.5193 
   00069    0.4475   -1144.9377  0.5452 
   00070    0.4775   -1138.3192  0.5357 
   00071    0.4475   -1167.9169  0.5629 
   00072    0.4150   -1177.2508  0.5636 
