LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   377500    3.494    0.000    3.494    0.000 LebwohlLasher.py:131(one_energy)
       51    1.460    0.029    1.472    0.029 LebwohlLasher.py:182(get_order)
       50    0.528    0.011    3.169    0.063 LebwohlLasher.py:210(MC_step)
    94618    0.251    0.000    0.251    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      293    0.159    0.001    0.159    0.001 {built-in method io.open_code}
     6793    0.116    0.000    0.180    0.000 inspect.py:867(cleandoc)
      293    0.082    0.000    0.082    0.000 {method 'read' of '_io.BufferedReader' objects}
       45    0.073    0.002    0.076    0.002 {built-in method _imp.create_dynamic}
       51    0.070    0.001    1.183    0.023 LebwohlLasher.py:165(all_energy)
      293    0.067    0.000    0.067    0.000 {built-in method marshal.loads}
     1445    0.031    0.000    0.031    0.000 {built-in method posix.stat}
     9273    0.030    0.000    0.030    0.000 {method 'search' of 're.Pattern' objects}
      213    0.029    0.000    0.079    0.000 artist.py:1521(get_setters)
      427    0.027    0.000    0.027    0.000 {built-in method builtins.dir}
      213    0.024    0.000    0.042    0.000 artist.py:1457(<listcomp>)
       89    0.024    0.000    0.024    0.000 {built-in method posix.getcwd}
1140/1031    0.023    0.000    0.646    0.001 {built-in method builtins.__build_class__}
     4050    0.023    0.000    0.262    0.000 artist.py:1474(get_valid_values)
    66266    0.023    0.000    0.023    0.000 {built-in method builtins.getattr}
    88706    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
140607/139489    0.021    0.000    0.021    0.000 {built-in method builtins.len}
     6777    0.020    0.000    0.024    0.000 enum.py:686(__call__)
      213    0.020    0.000    0.117    0.001 artist.py:1446(get_aliases)
       38    0.017    0.000    0.017    0.000 {built-in method posix.listdir}
     6341    0.017    0.000    0.043    0.000 inspect.py:2686(__init__)
  490/211    0.015    0.000    0.039    0.000 _parser.py:509(_parse)
       33    0.015    0.000    0.015    0.000 {built-in method io.open}
    51984    0.015    0.000    0.015    0.000 {built-in method builtins.min}
      325    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
    73440    0.014    0.000    0.014    0.000 {method 'lstrip' of 'str' objects}
    61896    0.014    0.000    0.017    0.000 {built-in method builtins.isinstance}
       30    0.013    0.000    0.062    0.002 __init__.py:835(_rc_params_in_file)
15415/15402    0.012    0.000    0.015    0.000 {method 'join' of 'str' objects}
     6764    0.011    0.000    0.170    0.000 inspect.py:848(getdoc)
      908    0.011    0.000    0.016    0.000 inspect.py:2972(__init__)
     7093    0.011    0.000    0.087    0.000 __init__.py:272(_compile)
      637    0.011    0.000    0.033    0.000 inspect.py:2333(_signature_from_function)
      112    0.010    0.000    0.323    0.003 artist.py:1602(pprint_setters)
     4050    0.009    0.000    0.019    0.000 artist.py:1559(aliased_name)
      609    0.009    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     8342    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
 1086/206    0.008    0.000    0.017    0.000 _compiler.py:37(_compile)
    45/35    0.007    0.000    0.036    0.001 {built-in method _imp.exec_dynamic}
  721/657    0.007    0.000    0.046    0.000 inspect.py:2428(_signature_from_callable)
    11073    0.007    0.000    0.008    0.000 {built-in method builtins.hasattr}
     5304    0.006    0.000    0.075    0.000 __init__.py:173(search)
    33064    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      293    0.006    0.000    0.347    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     6804    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
    302/1    0.005    0.000    7.310    7.310 {built-in method builtins.exec}
      354    0.005    0.000    0.111    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
     7516    0.005    0.000    0.006    0.000 _parser.py:164(__getitem__)
 1299/423    0.005    0.000    0.005    0.000 _parser.py:174(getwidth)
      412    0.005    0.000    0.007    0.000 enum.py:242(__set_name__)
    362/3    0.005    0.000    1.484    0.495 <frozen importlib._bootstrap>:1165(_find_and_load)
     6424    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
      100    0.004    0.000    0.019    0.000 artist.py:170(<listcomp>)
2857/2445    0.004    0.000    0.012    0.000 {built-in method __new__ of type object at 0x10302eda8}
    29568    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
     3202    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      100    0.004    0.000    0.006    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
     6100    0.004    0.000    0.004    0.000 _parser.py:233(__next)
       53    0.004    0.000    0.008    0.000 {built-in method builtins.eval}
       50    0.004    0.000    0.004    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
      753    0.004    0.000    0.006    0.000 functools.py:35(update_wrapper)
     3202    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      586    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      791    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
       51    0.003    0.000    0.007    0.000 linalg.py:1193(eig)
